NAME,COUNT,PCT2PRACE,PCTAIAN,PCTAPI,PCTBLACK,PCTHISPANIC,PCTWHITE,NAME
ALEN,31,0.0,0.0,6.452,0.0,3.226,90.323,ALEN
ALENA,58,0.0,0.0,3.448,8.621,1.724,86.207,ALENA
ALENE,31,3.226,0.0,3.226,6.452,0.0,87.097,ALENE
ALESHA,36,0.0,0.0,0.0,16.667,2.778,80.556,ALESHA
ALESIA,49,0.0,0.0,0.0,32.653,6.122,61.224,ALESIA
ALESSANDRA,34,0.0,0.0,0.0,0.0,8.824,91.176,ALESSANDRA
ALESSANDRO,46,0.0,0.0,4.348,2.174,4.348,89.13,ALESSANDRO
ALETA,49,0.0,0.0,0.0,8.163,2.041,89.796,ALETA
ALEX,1371,0.292,0.219,12.983,3.136,18.964,64.406,ALEX
ALEXA,78,0.0,0.0,0.0,2.564,2.564,94.872,ALEXA
ALEXANDER,2247,0.267,0.134,6.631,2.759,8.678,81.531,ALEXANDER
ALEXANDR,18,0.0,0.0,0.0,0.0,0.0,100.0,ALEXANDR
ALEXANDRA,504,0.397,0.198,1.984,1.19,10.714,85.516,ALEXANDRA
ALEXANDRE,80,0.0,0.0,3.75,2.5,10.0,83.75,ALEXANDRE
ALEXANDRIA,92,0.0,1.087,4.348,2.174,7.609,84.783,ALEXANDRIA
ALEXANDRU,31,0.0,0.0,0.0,0.0,6.452,93.548,ALEXANDRU
ALEXEI,30,0.0,0.0,0.0,0.0,0.0,100.0,ALEXEI
ALEXEY,21,0.0,0.0,0.0,0.0,0.0,100.0,ALEXEY
ALEXIA,38,0.0,0.0,2.632,10.526,0.0,86.842,ALEXIA
ALEXIS,452,0.221,0.0,2.876,5.088,14.159,77.655,ALEXIS
ALF,15,0.0,0.0,0.0,0.0,0.0,100.0,ALF
ALFONSO,482,0.207,0.0,4.564,3.942,78.216,13.071,ALFONSO
ALFRED,1237,0.162,0.081,4.689,9.054,10.186,75.829,ALFRED
ALFREDA,35,0.0,0.0,2.857,71.429,2.857,22.857,ALFREDA
ALFREDO,687,0.0,0.0,7.86,0.728,80.64,10.771,ALFREDO
ALI,514,0.584,0.973,19.455,4.28,1.946,72.763,ALI
ALIA,30,0.0,0.0,16.667,3.333,6.667,73.333,ALIA
ALICE,1923,0.312,0.208,8.164,6.292,4.888,80.135,ALICE
ALICIA,1719,0.175,0.116,2.734,5.934,24.375,66.667,ALICIA
ALICJA,31,0.0,0.0,0.0,0.0,0.0,100.0,ALICJA
ALIDA,34,0.0,0.0,0.0,2.941,23.529,73.529,ALIDA
ALINA,137,0.0,0.0,3.65,2.19,21.168,72.993,ALINA
ALINE,58,0.0,0.0,6.897,10.345,1.724,81.034,ALINE
ALIREZA,73,0.0,0.0,5.479,0.0,1.37,93.151,ALIREZA
ALISA,338,0.0,0.0,3.846,7.396,2.071,86.686,ALISA
ALISHA,213,0.469,0.469,0.469,10.329,3.286,84.977,ALISHA
ALISON,1403,0.071,0.0,1.568,1.283,0.784,96.294,ALISON
ALISSA,224,0.0,0.446,0.893,1.786,1.339,95.536,ALISSA
