name,Count!!RACE!!Total population,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Two or More Races,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Asian alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Hispanic or Latino,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!White alone,Zip Code Area
ZCTA5 00601,17242,10,0,0,1,0,17185,37,00601
ZCTA5 00602,37548,21,3,0,10,10,37278,213,00602
ZCTA5 00603,49804,60,5,1,80,49,48996,584,00603
ZCTA5 00606,5009,5,0,0,1,2,4974,26,00606
ZCTA5 00610,25731,20,0,4,19,5,25489,179,00610
ZCTA5 00611,1671,1,0,0,0,2,1654,12,00611
ZCTA5 00612,62425,21,0,0,46,38,61908,374,00612
ZCTA5 00616,9828,3,0,0,7,0,9786,27,00616
ZCTA5 00617,22541,7,12,0,8,3,22430,70,00617
ZCTA5 00622,7838,5,0,0,16,2,7702,110,00622
ZCTA5 00623,39320,20,3,0,25,32,38887,317,00623
ZCTA5 00624,21709,4,0,0,20,8,21598,69,00624
ZCTA5 00627,32873,16,3,0,8,5,32570,250,00627
ZCTA5 00631,1414,1,0,0,0,0,1407,4,00631
ZCTA5 00636,555,0,0,0,1,0,545,9,00636
ZCTA5 00637,23124,9,1,0,11,4,22996,92,00637
ZCTA5 00638,18109,5,3,0,5,14,18004,60,00638
ZCTA5 00641,24292,3,2,3,8,9,24113,147,00641
ZCTA5 00646,36272,92,4,2,67,88,35056,926,00646
ZCTA5 00647,4611,1,0,0,2,0,4574,30,00647
ZCTA5 00650,13637,6,0,0,7,4,13566,45,00650
ZCTA5 00652,4020,1,0,0,0,2,4005,10,00652
ZCTA5 00653,9244,5,0,0,12,0,9156,65,00653
ZCTA5 00656,17965,19,0,2,3,1,17903,29,00656
ZCTA5 00659,37421,24,2,0,45,21,37111,211,00659
ZCTA5 00660,15448,8,1,0,15,7,15333,75,00660
ZCTA5 00662,40770,37,1,1,42,23,40232,399,00662
ZCTA5 00664,15066,1,0,0,10,3,14987,57,00664
ZCTA5 00667,23522,4,0,1,20,7,23342,130,00667
ZCTA5 00669,27833,12,5,0,9,9,27635,116,00669
ZCTA5 00670,8828,12,0,0,7,4,8756,44,00670
ZCTA5 00674,39345,13,0,0,31,20,39054,196,00674
ZCTA5 00676,36706,11,2,0,23,14,36566,77,00676
ZCTA5 00677,15379,29,6,0,24,11,14600,691,00677
ZCTA5 00678,25410,18,0,2,8,7,25206,161,00678
ZCTA5 00680,46056,22,4,0,44,31,45650,290,00680
ZCTA5 00682,28299,26,0,0,64,53,27719,410,00682
ZCTA5 00683,29788,13,1,0,27,16,29571,145,00683
ZCTA5 00685,40294,11,4,0,15,5,40050,171,00685
ZCTA5 00687,28727,13,2,1,1,6,28604,86,00687
ZCTA5 00688,12443,1,0,0,9,5,12375,49,00688
ZCTA5 00690,5326,3,0,0,9,6,5261,44,00690
ZCTA5 00692,32873,12,5,0,57,44,32457,248,00692
ZCTA5 00693,56095,48,10,0,31,13,55690,279,00693
ZCTA5 00694,231,0,0,0,0,0,228,3,00694
ZCTA5 00698,33774,13,3,2,10,15,33590,131,00698
ZCTA5 00703,25332,10,1,0,12,5,25203,89,00703
ZCTA5 00704,6865,6,0,0,13,0,6786,60,00704
ZCTA5 00705,24467,28,0,0,19,3,24239,141,00705
ZCTA5 00707,10544,6,0,0,19,2,10485,31,00707
ZCTA5 00714,15802,14,1,0,26,7,15667,69,00714
ZCTA5 00715,2299,2,0,0,2,1,2283,9,00715
ZCTA5 00716,28423,16,3,0,15,36,28140,195,00716
ZCTA5 00717,14199,16,0,0,22,12,14033,100,00717
ZCTA5 00718,23290,13,0,0,16,14,23095,135,00718
ZCTA5 00719,30063,10,2,0,11,1,29948,87,00719
ZCTA5 00720,20331,2,6,0,14,3,20245,57,00720
ZCTA5 00723,15983,16,0,0,17,0,15876,66,00723
ZCTA5 00725,77223,52,9,4,67,34,76642,335,00725
ZCTA5 00727,54207,38,2,2,36,54,53775,250,00727
ZCTA5 00728,36675,16,1,0,26,31,36369,218,00728
ZCTA5 00729,47393,31,3,0,93,26,47071,145,00729
ZCTA5 00730,30521,17,8,0,25,9,30289,158,00730
ZCTA5 00731,12292,4,1,1,8,5,12205,58,00731
ZCTA5 00735,11299,6,4,0,24,11,11092,144,00735
ZCTA5 00736,45833,26,6,2,28,20,45561,176,00736
ZCTA5 00738,30706,37,14,2,100,25,30183,285,00738
ZCTA5 00739,34964,11,0,0,16,0,34780,134,00739
ZCTA5 00740,1492,1,0,0,12,2,1443,27,00740
ZCTA5 00741,3526,5,0,0,22,0,3479,16,00741
ZCTA5 00745,47718,29,6,0,93,34,47130,388,00745
ZCTA5 00751,19369,5,0,0,10,0,19231,106,00751
ZCTA5 00754,36673,15,4,0,3,13,36506,107,00754
ZCTA5 00757,20183,12,2,1,11,14,20070,61,00757
ZCTA5 00765,8249,10,15,0,47,3,7586,533,00765
ZCTA5 00766,22354,5,5,0,3,1,22268,66,00766
ZCTA5 00767,30646,12,1,2,12,8,30474,119,00767
ZCTA5 00769,34163,20,3,3,17,12,33962,95,00769
ZCTA5 00771,34761,12,0,0,27,16,34563,125,00771
ZCTA5 00772,17936,2,1,0,61,8,17836,24,00772
ZCTA5 00773,17772,21,6,3,61,21,17255,384,00773
ZCTA5 00775,1792,10,0,0,0,3,1599,176,00775
ZCTA5 00777,37717,10,5,0,32,1,37489,137,00777
ZCTA5 00778,40585,25,11,0,41,9,40281,190,00778
ZCTA5 00780,14934,9,1,0,12,13,14830,68,00780
ZCTA5 00782,17965,5,0,0,8,1,17889,43,00782
ZCTA5 00783,34093,8,0,10,20,9,33924,94,00783
ZCTA5 00784,36313,24,2,3,18,20,36075,137,00784
ZCTA5 00786,273,0,0,0,0,0,273,0,00786
ZCTA5 00791,47260,46,0,0,71,74,46319,718,00791
ZCTA5 00794,28791,3,1,2,6,5,28716,47,00794
ZCTA5 00795,43745,15,1,0,39,10,43504,148,00795
ZCTA5 00901,6218,20,0,4,39,48,5637,450,00901
ZCTA5 00906,165,6,0,0,4,13,116,26,00906
ZCTA5 00907,16864,62,2,1,115,218,15382,1049,00907
ZCTA5 00909,6987,12,2,0,55,21,6647,230,00909
ZCTA5 00911,7496,44,4,0,43,62,6673,653,00911
ZCTA5 00912,5786,14,2,0,43,10,5630,80,00912
ZCTA5 00913,7261,10,1,0,24,7,6999,210,00913
ZCTA5 00915,25075,35,4,0,141,8,24744,123,00915
ZCTA5 00917,17319,32,7,1,55,29,17064,122,00917
ZCTA5 00918,17439,26,2,0,38,78,17060,216,00918
ZCTA5 00920,14798,21,4,0,66,26,14576,96,00920
ZCTA5 00921,32062,29,1,1,73,41,31680,206,00921
ZCTA5 00923,23607,34,7,0,90,14,23310,139,00923
ZCTA5 00924,49654,52,2,0,107,49,49109,298,00924
ZCTA5 00925,5501,13,2,0,36,22,5365,50,00925
ZCTA5 00926,96732,76,12,0,125,133,95566,741,00926
ZCTA5 00927,14297,19,4,0,17,37,14017,195,00927
ZCTA5 00934,218,3,0,0,13,4,158,38,00934
ZCTA5 00949,67453,39,1,5,131,72,66680,485,00949
ZCTA5 00950,6,0,0,0,0,0,6,0,00950
ZCTA5 00951,430,0,0,0,3,0,427,0,00951
ZCTA5 00952,8671,3,1,0,22,0,8615,15,00952
ZCTA5 00953,66369,38,4,3,38,38,65980,230,00953
ZCTA5 00956,72353,42,5,1,75,27,71796,352,00956
ZCTA5 00957,40540,14,8,0,36,43,40217,186,00957
ZCTA5 00959,43625,43,4,2,75,63,42894,505,00959
ZCTA5 00960,2891,0,0,0,8,1,2840,40,00960
ZCTA5 00961,28062,25,5,1,29,48,27725,216,00961
ZCTA5 00962,19741,4,0,2,36,13,19579,93,00962
ZCTA5 00965,6168,5,3,0,162,9,5764,207,00965
ZCTA5 00966,16977,24,3,1,25,17,16649,238,00966
ZCTA5 00968,3722,5,1,0,7,23,3618,65,00968
ZCTA5 00969,38838,50,4,3,62,82,38097,506,00969
ZCTA5 00971,28517,23,0,1,22,32,28246,177,00971
ZCTA5 00976,59879,53,0,3,68,34,59331,352,00976
ZCTA5 00979,14929,47,1,0,70,69,14115,614,00979
ZCTA5 00982,14182,12,0,0,26,21,14025,85,00982
ZCTA5 00983,31889,15,2,0,71,31,31454,284,00983
ZCTA5 00985,31250,18,3,4,73,29,30906,185,00985
ZCTA5 00987,58427,25,4,4,69,100,57840,342,00987
ZCTA5 01001,16984,544,23,2,353,491,1150,14370,01001
ZCTA5 01002,27558,1423,46,5,1389,4330,2729,17439,01002
ZCTA5 01003,13253,502,14,10,878,2674,1158,8009,01003
ZCTA5 01005,4900,182,7,3,46,30,153,4455,01005
ZCTA5 01007,15423,684,6,4,269,367,660,13370,01007
ZCTA5 01008,1317,40,2,0,0,4,31,1236,01008
ZCTA5 01009,980,49,0,0,7,14,46,859,01009
ZCTA5 01010,3711,195,9,0,27,31,119,3325,01010
ZCTA5 01011,1201,45,9,0,0,2,42,1101,01011
ZCTA5 01012,519,17,0,0,0,1,13,483,01012
ZCTA5 01013,23656,851,32,9,1059,330,7534,13728,01013
ZCTA5 01020,29781,1110,48,21,967,547,5195,21791,01020
ZCTA5 01022,2158,50,11,0,181,32,313,1570,01022
ZCTA5 01026,1011,51,1,0,4,3,24,920,01026
ZCTA5 01027,17896,681,30,9,184,424,1158,15339,01027
ZCTA5 01028,16417,501,2,1,387,607,893,13989,01028
ZCTA5 01029,714,21,0,0,0,6,5,682,01029
ZCTA5 01030,11708,380,5,1,176,236,677,10197,01030
ZCTA5 01031,1406,63,8,1,10,6,33,1278,01031
ZCTA5 01032,483,11,0,0,0,0,18,453,01032
ZCTA5 01033,6092,185,6,0,80,185,283,5347,01033
ZCTA5 01034,1977,75,6,0,10,16,49,1821,01034
ZCTA5 01035,5325,217,5,1,71,351,320,4346,01035
ZCTA5 01036,4966,152,7,0,36,34,181,4552,01036
ZCTA5 01037,706,31,1,0,3,0,21,645,01037
ZCTA5 01038,2522,66,6,1,16,12,49,2365,01038
ZCTA5 01039,1511,54,5,1,19,7,45,1376,01039
ZCTA5 01040,38238,837,39,24,1098,390,19597,16084,01040
ZCTA5 01050,2467,111,1,0,12,16,104,2210,01050
ZCTA5 01053,2031,75,3,0,49,19,96,1777,01053
ZCTA5 01054,1889,102,2,1,28,36,79,1626,01054
ZCTA5 01056,21002,710,17,1,469,244,1743,17770,01056
ZCTA5 01057,8152,267,16,2,54,57,248,7464,01057
ZCTA5 01060,14461,736,20,10,390,608,1432,11164,01060
ZCTA5 01062,10910,522,10,0,226,245,900,8956,01062
ZCTA5 01063,2106,142,1,0,164,415,259,1115,01063
ZCTA5 01066,215,1,2,1,5,7,15,181,01066
ZCTA5 01068,1904,69,3,0,17,18,71,1722,01068
ZCTA5 01069,8428,371,21,1,153,138,489,7240,01069
ZCTA5 01070,577,29,1,0,2,2,23,519,01070
ZCTA5 01071,1486,48,4,0,12,2,42,1378,01071
ZCTA5 01072,1366,79,1,0,8,9,54,1208,01072
ZCTA5 01073,6224,215,0,1,24,55,206,5707,01073
ZCTA5 01074,584,26,1,0,9,11,42,495,01074
ZCTA5 01075,18168,688,15,3,444,934,1310,14692,01075
ZCTA5 01077,9237,339,13,4,45,85,325,8408,01077
ZCTA5 01079,701,25,3,0,7,4,53,609,01079
ZCTA5 01080,2400,81,1,0,65,16,208,2023,01080
ZCTA5 01081,1684,58,9,0,4,1,41,1551,01081
ZCTA5 01082,10565,506,30,10,137,74,785,8978,01082
ZCTA5 01083,2549,109,1,0,22,17,111,2274,01083
ZCTA5 01084,185,3,1,0,0,0,10,171,01084
ZCTA5 01085,41529,1482,68,13,710,945,3950,34208,01085
ZCTA5 01088,598,33,0,0,4,8,17,533,01088
ZCTA5 01089,28835,1058,35,8,1017,1841,4020,20751,01089
ZCTA5 01092,1343,64,2,0,5,2,59,1211,01092
ZCTA5 01093,290,4,0,0,2,2,5,277,01093
ZCTA5 01094,60,2,0,0,1,0,3,54,01094
ZCTA5 01095,14694,497,8,1,365,347,785,12642,01095
ZCTA5 01096,2509,97,3,0,8,9,63,2319,01096
ZCTA5 01097,130,4,0,0,1,0,14,109,01097
ZCTA5 01098,1147,44,0,0,0,6,27,1067,01098
ZCTA5 01103,2545,59,7,0,434,48,1376,603,01103
ZCTA5 01104,23598,628,29,7,2594,264,14159,5815,01104
ZCTA5 01105,12051,276,27,1,2193,111,7821,1539,01105
ZCTA5 01106,16165,484,4,6,246,1255,684,13394,01106
ZCTA5 01107,11252,171,8,4,861,84,8846,1232,01107
ZCTA5 01108,27671,829,52,7,4785,1971,12850,7015,01108
ZCTA5 01109,30968,1105,62,38,9771,421,13418,5958,01109
ZCTA5 01118,14296,508,17,1,1969,779,3599,7346,01118
ZCTA5 01119,14393,533,18,9,2908,293,4478,6083,01119
ZCTA5 01128,2647,114,6,1,266,78,476,1701,01128
ZCTA5 01129,7024,270,12,5,1189,238,1685,3584,01129
ZCTA5 01144,0,0,0,0,0,0,0,0,01144
ZCTA5 01151,9150,324,21,2,1556,120,4074,2997,01151
ZCTA5 01201,45494,2420,68,6,2858,640,3574,35619,01201
ZCTA5 01220,8166,419,7,0,103,41,226,7353,01220
ZCTA5 01222,835,45,3,0,5,4,54,722,01222
ZCTA5 01223,2430,85,1,0,10,9,78,2242,01223
ZCTA5 01224,217,14,0,0,9,5,7,180,01224
ZCTA5 01225,3258,124,2,5,22,31,79,2995,01225
ZCTA5 01226,6324,223,2,0,56,60,160,5807,01226
ZCTA5 01229,189,1,0,0,1,0,16,167,01229
ZCTA5 01230,8907,325,13,2,164,222,675,7463,01230
ZCTA5 01235,2733,85,2,0,10,10,39,2577,01235
ZCTA5 01236,1513,64,0,0,16,12,86,1331,01236
ZCTA5 01237,2365,92,5,0,28,24,65,2145,01237
ZCTA5 01238,5722,172,6,2,60,134,292,5033,01238
ZCTA5 01240,4692,116,4,2,49,102,206,4204,01240
ZCTA5 01242,449,12,0,0,1,0,17,412,01242
ZCTA5 01243,175,4,0,0,0,0,4,167,01243
ZCTA5 01244,287,11,2,0,2,0,5,267,01244
ZCTA5 01245,933,36,4,0,14,12,27,839,01245
ZCTA5 01247,15147,825,22,1,323,110,615,13171,01247
ZCTA5 01253,808,18,6,0,3,3,22,752,01253
ZCTA5 01254,946,29,0,0,4,19,28,860,01254
ZCTA5 01255,959,38,2,0,6,2,18,890,01255
ZCTA5 01256,645,27,0,0,14,1,8,592,01256
ZCTA5 01257,2140,84,2,0,20,6,106,1918,01257
ZCTA5 01258,160,7,0,0,0,6,1,145,01258
ZCTA5 01259,643,13,2,0,2,4,15,605,01259
ZCTA5 01260,233,8,0,0,0,5,14,205,01260
ZCTA5 01262,1758,31,0,0,20,14,71,1613,01262
ZCTA5 01264,219,8,1,0,1,3,10,196,01264
ZCTA5 01266,1208,46,1,0,9,7,50,1089,01266
ZCTA5 01267,7876,367,10,0,249,505,470,6224,01267
ZCTA5 01270,755,31,0,0,4,1,17,699,01270
ZCTA5 01301,18042,801,33,4,398,287,1484,14918,01301
ZCTA5 01330,1500,52,3,0,4,3,30,1397,01330
ZCTA5 01331,13656,591,19,4,121,93,725,12045,01331
ZCTA5 01337,2562,83,0,0,9,13,34,2417,01337
ZCTA5 01338,127,8,0,0,0,1,4,110,01338
ZCTA5 01339,1487,101,4,0,7,12,38,1321,01339
ZCTA5 01340,1803,84,0,0,9,9,54,1643,01340
ZCTA5 01341,1539,31,2,0,2,17,23,1460,01341
ZCTA5 01342,1538,103,1,3,63,24,156,1179,01342
ZCTA5 01343,165,14,0,0,1,1,6,142,01343
ZCTA5 01344,1665,110,9,0,7,4,33,1496,01344
ZCTA5 01346,352,22,1,0,1,4,10,314,01346
ZCTA5 01347,204,12,0,0,10,0,9,171,01347
ZCTA5 01349,827,39,0,0,12,8,33,733,01349
ZCTA5 01350,118,7,0,0,2,2,2,105,01350
ZCTA5 01351,2293,102,9,0,7,30,46,2087,01351
ZCTA5 01354,1546,89,4,2,16,23,52,1353,01354
ZCTA5 01355,879,40,2,0,4,7,27,796,01355
ZCTA5 01360,2871,138,5,0,6,15,77,2619,01360
ZCTA5 01364,7665,415,11,0,98,74,315,6721,01364
ZCTA5 01366,1187,38,0,0,3,4,37,1087,01366
ZCTA5 01367,506,29,1,0,3,7,13,453,01367
ZCTA5 01368,1283,52,1,0,4,9,25,1189,01368
ZCTA5 01370,3932,156,9,0,24,19,124,3584,01370
ZCTA5 01373,4526,177,5,0,33,63,149,4087,01373
ZCTA5 01375,3639,163,2,0,107,441,204,2692,01375
ZCTA5 01376,5324,255,12,0,80,51,446,4451,01376
ZCTA5 01378,780,31,5,0,0,8,21,707,01378
ZCTA5 01379,774,47,0,0,10,8,26,675,01379
ZCTA5 01380,82,3,0,0,2,0,1,74,01380
ZCTA5 01420,41940,1908,80,14,2579,1508,12611,22909,01420
ZCTA5 01430,6303,250,15,0,41,53,195,5723,01430
ZCTA5 01431,3193,107,3,1,18,16,123,2913,01431
ZCTA5 01432,8221,495,9,2,348,423,514,6351,01432
ZCTA5 01434,1652,50,21,0,378,94,286,813,01434
ZCTA5 01436,3208,121,3,3,45,17,128,2879,01436
ZCTA5 01438,414,12,0,0,8,3,14,370,01438
ZCTA5 01440,21577,982,52,8,703,400,2376,16932,01440
ZCTA5 01450,11298,447,9,3,137,579,431,9637,01450
ZCTA5 01451,5461,219,7,0,57,364,163,4617,01451
ZCTA5 01452,4328,159,9,0,17,29,125,3965,01452
ZCTA5 01453,43752,2345,47,9,2821,1380,8264,28018,01453
ZCTA5 01460,10141,358,12,4,128,826,328,8428,01460
ZCTA5 01462,11818,549,13,0,186,210,674,10117,01462
ZCTA5 01463,11621,482,16,1,138,234,378,10275,01463
ZCTA5 01464,7427,325,11,6,575,200,780,5488,01464
ZCTA5 01468,4309,119,1,0,44,23,126,3978,01468
ZCTA5 01469,7055,274,10,1,93,76,312,6236,01469
ZCTA5 01473,8213,244,10,0,86,93,357,7387,01473
ZCTA5 01474,2072,111,1,0,4,25,89,1830,01474
ZCTA5 01475,10304,486,6,2,133,139,566,8935,01475
ZCTA5 01501,16731,631,11,0,291,545,878,14290,01501
ZCTA5 01503,3158,159,0,3,18,38,127,2796,01503
ZCTA5 01504,9208,337,8,1,91,99,371,8248,01504
ZCTA5 01505,4849,159,7,0,28,250,148,4210,01505
ZCTA5 01506,3439,142,3,0,19,18,122,3130,01506
ZCTA5 01507,13315,411,13,3,118,143,539,12039,01507
ZCTA5 01510,15428,954,23,0,387,237,2596,10943,01510
ZCTA5 01515,2224,71,1,0,21,33,95,2002,01515
ZCTA5 01516,8962,335,9,2,57,85,281,8146,01516
ZCTA5 01518,3176,143,9,1,45,67,158,2747,01518
ZCTA5 01519,7254,319,7,0,103,403,265,6117,01519
ZCTA5 01520,16394,510,14,2,346,600,665,14198,01520
ZCTA5 01521,2603,97,8,0,12,30,81,2372,01521
ZCTA5 01522,3464,148,1,0,49,81,162,3010,01522
ZCTA5 01523,8377,349,13,0,561,148,946,6290,01523
ZCTA5 01524,6621,257,16,1,167,163,411,5572,01524
ZCTA5 01525,73,5,0,0,0,0,2,66,01525
ZCTA5 01527,13799,537,7,5,344,442,625,11762,01527
ZCTA5 01529,3174,105,0,0,26,26,86,2915,01529
ZCTA5 01531,996,28,1,0,4,4,15,939,01531
ZCTA5 01532,15741,893,19,4,219,1863,623,11922,01532
ZCTA5 01534,6233,259,6,0,79,93,293,5471,01534
ZCTA5 01535,4735,188,9,0,28,29,195,4276,01535
ZCTA5 01536,7514,260,3,0,172,688,321,6018,01536
ZCTA5 01537,2141,79,2,0,28,40,113,1853,01537
ZCTA5 01540,11032,411,11,1,169,108,673,9606,01540
ZCTA5 01541,3495,122,1,0,27,39,107,3192,01541
ZCTA5 01542,2366,110,2,0,57,56,153,1978,01542
ZCTA5 01543,9049,327,8,4,127,156,390,7993,01543
ZCTA5 01545,38316,1700,36,5,912,9418,1610,24259,01545
ZCTA5 01550,17740,502,57,3,338,314,6409,10059,01550
ZCTA5 01560,4896,165,0,0,98,843,276,3468,01560
ZCTA5 01561,64,3,0,0,8,8,23,19,01561
ZCTA5 01562,11992,441,27,8,238,92,989,10157,01562
ZCTA5 01564,7985,257,3,3,78,71,297,7230,01564
ZCTA5 01566,6691,273,8,12,91,130,266,5880,01566
ZCTA5 01568,7900,330,0,5,62,337,267,6844,01568
ZCTA5 01569,14193,553,19,4,108,167,455,12782,01569
ZCTA5 01570,17776,662,35,4,702,323,2479,13462,01570
ZCTA5 01571,11921,419,16,0,188,140,1483,9617,01571
ZCTA5 01581,21567,980,22,0,449,5575,1294,12980,01581
ZCTA5 01583,7652,276,5,0,245,147,554,6369,01583
ZCTA5 01585,4899,186,2,0,26,31,167,4471,01585
ZCTA5 01588,10106,464,8,2,118,113,535,8821,01588
ZCTA5 01590,9279,343,5,2,76,98,253,8464,01590
ZCTA5 01602,25382,1015,35,3,2387,1502,3339,16901,01602
ZCTA5 01603,22417,916,23,6,2866,2814,6449,9096,01603
ZCTA5 01604,41301,2148,78,3,6233,2721,9070,20257,01604
ZCTA5 01605,29218,1293,41,7,5110,1786,9002,11582,01605
ZCTA5 01606,21651,963,44,7,2688,1017,2805,13780,01606
ZCTA5 01607,9378,447,8,1,2065,431,2094,4171,01607
ZCTA5 01608,4996,159,10,0,768,452,1882,1690,01608
ZCTA5 01609,23870,862,49,8,2304,1508,5030,13939,01609
ZCTA5 01610,28717,989,48,13,3987,2340,11112,9934,01610
ZCTA5 01611,2277,137,1,1,155,39,267,1648,01611
ZCTA5 01612,5051,168,8,0,176,71,307,4283,01612
ZCTA5 01701,33005,2027,29,7,1505,2675,2652,23177,01701
ZCTA5 01702,39515,4286,55,10,2756,2579,9525,15781,01702
ZCTA5 01718,688,35,2,0,38,223,28,359,01718
ZCTA5 01719,5506,249,1,1,119,1186,218,3694,01719
ZCTA5 01720,23232,1041,15,4,530,5790,879,14746,01720
ZCTA5 01721,18832,1132,29,2,514,2458,1157,12891,01721
ZCTA5 01730,14566,596,15,0,374,2312,510,10696,01730
ZCTA5 01731,1555,126,4,8,154,42,314,890,01731
ZCTA5 01740,5665,279,0,0,16,269,149,4903,01740
ZCTA5 01741,5237,282,0,2,35,594,166,4129,01741
ZCTA5 01742,18545,779,2,4,466,1171,870,15163,01742
ZCTA5 01745,433,12,0,0,1,60,19,322,01745
ZCTA5 01746,14996,584,7,2,172,931,512,12621,01746
ZCTA5 01747,6017,245,6,0,48,106,264,5279,01747
ZCTA5 01748,18758,638,8,1,183,3342,733,13733,01748
ZCTA5 01749,20092,1530,9,3,365,576,1263,15797,01749
ZCTA5 01752,41793,4012,50,3,1294,2450,6631,24696,01752
ZCTA5 01754,10730,517,6,1,210,363,597,8911,01754
ZCTA5 01756,6228,214,5,0,39,105,181,5644,01756
ZCTA5 01757,30479,3179,32,1,689,677,3749,20129,01757
ZCTA5 01760,36659,1568,42,1,758,4394,1740,27749,01760
ZCTA5 01770,4401,257,2,1,27,335,149,3594,01770
ZCTA5 01772,10017,434,3,7,105,1458,354,7564,01772
ZCTA5 01773,5651,293,8,4,79,435,236,4536,01773
ZCTA5 01775,7190,347,3,0,65,311,259,6161,01775
ZCTA5 01776,18934,864,2,5,239,1697,687,15321,01776
ZCTA5 01778,14132,626,8,6,131,1903,557,10836,01778
ZCTA5 01801,40891,2115,36,6,2160,3460,2606,29750,01801
ZCTA5 01803,26074,788,15,2,1203,4608,1003,18299,01803
ZCTA5 01810,35621,1297,18,3,689,5496,1985,25960,01810
ZCTA5 01821,30909,974,36,2,1097,2533,1076,24912,01821
ZCTA5 01824,26881,900,19,3,553,2943,1061,21247,01824
ZCTA5 01826,32689,1163,20,2,1844,1995,2460,24933,01826
ZCTA5 01827,3358,142,0,0,30,161,103,2896,01827
ZCTA5 01830,27553,938,45,4,1027,413,6363,18518,01830
ZCTA5 01832,25656,925,61,5,978,591,7777,15093,01832
ZCTA5 01833,8410,306,7,0,35,100,245,7696,01833
ZCTA5 01834,6752,196,6,2,37,65,192,6229,01834
ZCTA5 01835,14578,501,8,4,497,297,1858,11317,01835
ZCTA5 01840,7121,84,7,0,197,75,5879,799,01840
ZCTA5 01841,53654,373,73,5,1205,343,46294,4982,01841
ZCTA5 01843,28346,400,16,4,686,1129,20716,5194,01843
ZCTA5 01844,52970,1347,53,3,2172,2090,15550,31372,01844
ZCTA5 01845,31855,1049,22,6,783,2216,2474,25134,01845
ZCTA5 01850,16670,802,19,6,2014,1587,5156,6790,01850
ZCTA5 01851,32691,1540,24,10,2617,13326,5331,9307,01851
ZCTA5 01852,36708,2261,47,11,2620,4910,8153,17585,01852
ZCTA5 01854,29561,1214,21,29,2324,5741,6423,13267,01854
ZCTA5 01860,6723,273,4,0,47,49,197,6128,01860
ZCTA5 01862,11430,361,8,1,538,1060,714,8654,01862
ZCTA5 01863,9536,382,7,0,329,1124,448,7174,01863
ZCTA5 01864,15554,500,18,1,131,589,466,13769,01864
ZCTA5 01867,25522,746,23,4,316,1350,687,22258,01867
ZCTA5 01876,31105,933,13,3,724,1290,1237,26734,01876
ZCTA5 01879,12368,421,8,1,335,970,565,9968,01879
ZCTA5 01880,27071,947,21,1,410,1139,1143,23214,01880
ZCTA5 01886,24618,881,23,3,219,5273,633,17504,01886
ZCTA5 01887,23349,810,15,9,302,1257,694,20132,01887
ZCTA5 01890,22970,985,4,6,218,3686,773,17133,01890
ZCTA5 01901,2794,75,7,1,615,58,1091,919,01901
ZCTA5 01902,50725,1621,52,15,5892,3276,25496,13786,01902
ZCTA5 01904,19944,746,24,5,1402,897,5124,11571,01904
ZCTA5 01905,27761,932,32,7,2824,2593,12840,8247,01905
ZCTA5 01906,28619,1445,25,3,1077,1408,2601,21485,01906
ZCTA5 01907,15148,457,8,5,256,324,1013,12977,01907
ZCTA5 01908,3334,95,1,0,37,52,102,3033,01908
ZCTA5 01913,17366,626,32,5,215,167,675,15572,01913
ZCTA5 01915,42341,1685,26,9,915,923,2694,35799,01915
ZCTA5 01921,8263,384,3,1,48,226,279,7251,01921
ZCTA5 01922,3134,83,0,0,16,32,90,2899,01922
ZCTA5 01923,27987,951,23,1,522,650,1243,24421,01923
ZCTA5 01929,3618,110,0,0,16,35,99,3345,01929
ZCTA5 01930,29729,1133,33,16,294,332,1386,26256,01930
ZCTA5 01937,100,0,0,0,3,0,2,95,01937
ZCTA5 01938,13785,431,3,1,82,215,408,12551,01938
ZCTA5 01940,13326,432,1,0,111,767,416,11525,01940
ZCTA5 01944,5395,149,1,0,7,57,120,5034,01944
ZCTA5 01945,20462,593,18,1,154,270,771,18575,01945
ZCTA5 01949,9779,243,7,0,168,331,722,8240,01949
ZCTA5 01950,18289,658,7,3,130,252,461,16666,01950
ZCTA5 01951,3582,120,3,0,11,38,66,3327,01951
ZCTA5 01952,9236,354,19,2,60,133,274,8359,01952
ZCTA5 01960,54155,2705,55,5,1774,1311,5399,41856,01960
ZCTA5 01965,329,5,1,1,1,6,3,312,01965
ZCTA5 01966,6992,155,0,0,50,67,172,6512,01966
ZCTA5 01969,6161,161,0,0,25,85,135,5715,01969
ZCTA5 01970,44451,1737,57,11,1827,1255,8782,30452,01970
ZCTA5 01982,7618,251,7,0,56,310,199,6772,01982
ZCTA5 01983,6569,196,4,0,43,118,270,5911,01983
ZCTA5 01984,4979,95,3,2,84,198,227,4354,01984
