name,Count!!RACE!!Total population,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Two or More Races,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Asian alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Hispanic or Latino,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!White alone,Zip Code Area
ZCTA5 90602,25521,422,84,40,346,890,20094,3509,90602
ZCTA5 90603,21174,484,57,30,210,1382,12390,6520,90603
ZCTA5 90604,40110,795,128,63,595,2402,27960,7946,90604
ZCTA5 90605,40189,598,80,89,351,1679,31955,5273,90605
ZCTA5 90606,32078,304,116,45,321,629,28058,2460,90606
ZCTA5 90620,46564,1695,92,261,1207,14332,16862,11909,90620
ZCTA5 90621,36972,764,81,110,1246,13005,17310,4320,90621
ZCTA5 90623,15906,574,20,79,782,8054,2976,3362,90623
ZCTA5 90630,49965,2322,88,255,1526,18701,10604,16268,90630
ZCTA5 90631,69533,1625,153,65,1096,9001,39576,17719,90631
ZCTA5 90638,46967,1492,125,101,953,10684,20600,12777,90638
ZCTA5 90639,1511,82,1,4,52,244,254,868,90639
ZCTA5 90640,62678,536,105,66,470,7798,49047,4460,90640
ZCTA5 90650,102891,1630,294,370,3875,13691,73612,8933,90650
ZCTA5 90660,62013,351,130,30,383,2064,56188,2601,90660
ZCTA5 90670,17761,268,34,42,504,1549,13513,1781,90670
ZCTA5 90680,30045,659,51,159,553,8800,14740,4912,90680
ZCTA5 90701,16434,335,26,58,629,6879,5832,2610,90701
ZCTA5 90703,49735,1690,59,193,3162,30786,7284,6324,90703
ZCTA5 90704,3715,121,4,11,39,30,1967,1530,90704
ZCTA5 90706,79179,2048,183,531,10128,9855,45246,10812,90706
ZCTA5 90710,26605,935,18,203,3188,5703,11696,4759,90710
ZCTA5 90712,32332,1698,105,328,3155,5697,11141,10033,90712
ZCTA5 90713,28755,1710,68,140,1319,3484,9132,12724,90713
ZCTA5 90715,20999,742,42,175,1917,5854,9118,3057,90715
ZCTA5 90716,14098,127,17,32,547,1734,10835,750,90716
ZCTA5 90717,22044,1150,62,144,1195,3562,8270,7519,90717
ZCTA5 90720,22955,1417,46,93,449,3738,4833,12279,90720
ZCTA5 90723,53770,641,94,225,4977,1703,43645,2277,90723
ZCTA5 90731,61270,2369,244,284,4398,3207,32960,17347,90731
ZCTA5 90732,21397,1023,52,62,1198,2113,6345,10439,90732
ZCTA5 90740,24769,1077,52,45,370,3588,3101,16452,90740
ZCTA5 90742,748,44,0,5,5,42,109,539,90742
ZCTA5 90743,466,14,2,1,0,36,49,360,90743
ZCTA5 90744,53074,622,92,305,1807,1335,46545,2131,90744
ZCTA5 90745,59937,1698,113,1149,5142,21278,25523,4751,90745
ZCTA5 90746,27147,888,55,277,15514,2422,6612,1219,90746
